heart_rate,timestamp,date
44,07:40,2024-12-29
44,07:42,2024-12-29
45,07:44,2024-12-29
44,07:46,2024-12-29
44,07:48,2024-12-29
49,07:50,2024-12-29
46,07:52,2024-12-29
49,07:54,2024-12-29
51,07:56,2024-12-29
47,07:58,2024-12-29
45,08:00,2024-12-29
45,08:02,2024-12-29
44,08:04,2024-12-29
46,08:06,2024-12-29
45,08:08,2024-12-29
45,08:10,2024-12-29
46,08:12,2024-12-29
46,08:14,2024-12-29
46,08:16,2024-12-29
47,08:18,2024-12-29
48,08:20,2024-12-29
48,08:22,2024-12-29
48,08:24,2024-12-29
48,08:26,2024-12-29
48,08:28,2024-12-29
48,08:30,2024-12-29
47,08:32,2024-12-29
48,08:34,2024-12-29
48,08:36,2024-12-29
49,08:38,2024-12-29
49,08:40,2024-12-29
48,08:42,2024-12-29
49,08:44,2024-12-29
50,08:46,2024-12-29
53,08:48,2024-12-29
54,08:50,2024-12-29
47,08:52,2024-12-29
47,08:54,2024-12-29
48,08:56,2024-12-29
47,08:58,2024-12-29
46,09:00,2024-12-29
46,09:02,2024-12-29
49,09:04,2024-12-29
51,09:06,2024-12-29
50,09:08,2024-12-29
50,09:10,2024-12-29
47,09:12,2024-12-29
48,09:14,2024-12-29
49,09:16,2024-12-29
47,09:18,2024-12-29
46,09:20,2024-12-29
60,00:10,2024-12-30
58,00:12,2024-12-30
58,00:14,2024-12-30
59,00:16,2024-12-30
60,00:18,2024-12-30
59,00:20,2024-12-30
58,00:22,2024-12-30
58,00:24,2024-12-30
59,00:26,2024-12-30
59,00:28,2024-12-30
59,00:30,2024-12-30
59,00:32,2024-12-30
58,00:34,2024-12-30
59,00:36,2024-12-30
59,00:38,2024-12-30
59,00:40,2024-12-30
58,00:42,2024-12-30
58,00:44,2024-12-30
58,00:46,2024-12-30
58,00:48,2024-12-30
58,00:50,2024-12-30
58,00:52,2024-12-30
57,00:54,2024-12-30
56,00:56,2024-12-30
57,00:58,2024-12-30
58,01:00,2024-12-30
58,01:02,2024-12-30
58,01:04,2024-12-30
58,01:06,2024-12-30
57,01:08,2024-12-30
58,01:10,2024-12-30
57,01:12,2024-12-30
62,01:14,2024-12-30
58,01:16,2024-12-30
53,01:18,2024-12-30
55,01:20,2024-12-30
56,01:22,2024-12-30
57,01:24,2024-12-30
58,01:26,2024-12-30
58,01:28,2024-12-30
57,01:30,2024-12-30
56,01:32,2024-12-30
56,01:34,2024-12-30
59,01:36,2024-12-30
57,01:38,2024-12-30
58,01:40,2024-12-30
57,01:42,2024-12-30
54,01:44,2024-12-30
57,01:46,2024-12-30
60,01:48,2024-12-30
51,01:50,2024-12-30
50,01:52,2024-12-30
51,01:54,2024-12-30
52,01:56,2024-12-30
51,01:58,2024-12-30
50,02:00,2024-12-30
51,02:02,2024-12-30
50,02:04,2024-12-30
50,02:06,2024-12-30
51,02:08,2024-12-30
51,02:10,2024-12-30
50,02:12,2024-12-30
50,02:14,2024-12-30
52,02:16,2024-12-30
53,02:18,2024-12-30
52,02:20,2024-12-30
59,02:22,2024-12-30
53,02:24,2024-12-30
53,02:26,2024-12-30
53,02:28,2024-12-30
51,02:30,2024-12-30
50,02:32,2024-12-30
51,02:34,2024-12-30
52,02:36,2024-12-30
53,02:38,2024-12-30
54,02:40,2024-12-30
54,02:42,2024-12-30
56,02:44,2024-12-30
52,02:46,2024-12-30
54,02:48,2024-12-30
53,02:50,2024-12-30
53,02:52,2024-12-30
53,02:54,2024-12-30
52,02:56,2024-12-30
52,02:58,2024-12-30
53,03:00,2024-12-30
52,03:02,2024-12-30
52,03:04,2024-12-30
50,03:06,2024-12-30
52,03:08,2024-12-30
52,03:10,2024-12-30
52,03:12,2024-12-30
51,03:14,2024-12-30
53,03:16,2024-12-30
55,03:18,2024-12-30
53,03:20,2024-12-30
54,03:22,2024-12-30
52,03:24,2024-12-30
51,03:26,2024-12-30
51,03:28,2024-12-30
52,03:30,2024-12-30
52,03:32,2024-12-30
52,03:34,2024-12-30
52,03:36,2024-12-30
53,03:38,2024-12-30
52,03:40,2024-12-30
55,03:42,2024-12-30
49,03:44,2024-12-30
51,03:46,2024-12-30
51,03:48,2024-12-30
51,03:50,2024-12-30
52,03:52,2024-12-30
51,03:54,2024-12-30
52,03:56,2024-12-30
52,03:58,2024-12-30
51,04:00,2024-12-30
52,04:02,2024-12-30
51,04:04,2024-12-30
52,04:06,2024-12-30
52,04:08,2024-12-30
50,04:10,2024-12-30
50,04:12,2024-12-30
49,04:14,2024-12-30
53,04:16,2024-12-30
51,04:18,2024-12-30
51,04:20,2024-12-30
52,04:22,2024-12-30
50,04:24,2024-12-30
52,04:26,2024-12-30
60,04:28,2024-12-30
49,04:30,2024-12-30
50,04:32,2024-12-30
49,04:34,2024-12-30
52,04:36,2024-12-30
56,04:38,2024-12-30
54,04:40,2024-12-30
53,04:42,2024-12-30
48,04:44,2024-12-30
49,04:46,2024-12-30
51,04:48,2024-12-30
48,04:50,2024-12-30
50,04:52,2024-12-30
46,04:54,2024-12-30
49,04:56,2024-12-30
51,04:58,2024-12-30
52,05:00,2024-12-30
49,05:02,2024-12-30
53,05:04,2024-12-30
51,05:06,2024-12-30
50,05:08,2024-12-30
51,05:10,2024-12-30
51,05:12,2024-12-30
52,05:14,2024-12-30
51,05:16,2024-12-30
51,05:18,2024-12-30
52,05:20,2024-12-30
51,05:22,2024-12-30
52,05:24,2024-12-30
51,05:26,2024-12-30
52,05:28,2024-12-30
52,05:30,2024-12-30
52,05:32,2024-12-30
56,05:34,2024-12-30
50,05:36,2024-12-30
50,05:38,2024-12-30
49,05:40,2024-12-30
50,05:42,2024-12-30
50,05:44,2024-12-30
50,05:46,2024-12-30
51,05:48,2024-12-30
51,05:50,2024-12-30
51,05:52,2024-12-30
51,05:54,2024-12-30
51,05:56,2024-12-30
51,05:58,2024-12-30
51,06:00,2024-12-30
56,06:02,2024-12-30
48,06:04,2024-12-30
49,06:06,2024-12-30
49,06:08,2024-12-30
48,06:10,2024-12-30
48,06:12,2024-12-30
48,06:14,2024-12-30
60,06:16,2024-12-30
51,06:18,2024-12-30
48,06:20,2024-12-30
49,06:22,2024-12-30
48,06:24,2024-12-30
51,06:26,2024-12-30
46,06:28,2024-12-30
51,06:30,2024-12-30
49,06:32,2024-12-30
47,06:34,2024-12-30
48,06:36,2024-12-30
48,06:38,2024-12-30
48,06:40,2024-12-30
49,06:42,2024-12-30
49,06:44,2024-12-30
50,06:46,2024-12-30
45,06:48,2024-12-30
47,06:50,2024-12-30
48,06:52,2024-12-30
47,06:54,2024-12-30
47,06:56,2024-12-30
50,06:58,2024-12-30
49,07:00,2024-12-30
47,07:02,2024-12-30
48,07:04,2024-12-30
49,07:06,2024-12-30
58,01:28,2024-12-31
58,01:30,2024-12-31
57,01:32,2024-12-31
57,01:34,2024-12-31
56,01:36,2024-12-31
56,01:38,2024-12-31
56,01:40,2024-12-31
56,01:42,2024-12-31
56,01:44,2024-12-31
56,01:46,2024-12-31
56,01:48,2024-12-31
55,01:50,2024-12-31
56,01:52,2024-12-31
56,01:54,2024-12-31
57,01:56,2024-12-31
57,01:58,2024-12-31
56,02:00,2024-12-31
56,02:02,2024-12-31
57,02:04,2024-12-31
57,02:06,2024-12-31
57,02:08,2024-12-31
58,02:10,2024-12-31
55,02:12,2024-12-31
53,02:14,2024-12-31
55,02:16,2024-12-31
52,02:18,2024-12-31
51,02:20,2024-12-31
52,02:22,2024-12-31
52,02:24,2024-12-31
51,02:26,2024-12-31
50,02:28,2024-12-31
51,02:30,2024-12-31
51,02:32,2024-12-31
52,02:34,2024-12-31
53,02:36,2024-12-31
52,02:38,2024-12-31
56,02:40,2024-12-31
52,02:42,2024-12-31
51,02:44,2024-12-31
53,02:46,2024-12-31
54,02:48,2024-12-31
53,02:50,2024-12-31
52,02:52,2024-12-31
54,02:54,2024-12-31
54,02:56,2024-12-31
53,02:58,2024-12-31
52,03:00,2024-12-31
53,03:02,2024-12-31
53,03:04,2024-12-31
53,03:06,2024-12-31
53,03:08,2024-12-31
53,03:10,2024-12-31
53,03:12,2024-12-31
53,03:14,2024-12-31
53,03:16,2024-12-31
60,03:18,2024-12-31
56,03:20,2024-12-31
51,03:22,2024-12-31
49,03:24,2024-12-31
49,03:26,2024-12-31
50,03:28,2024-12-31
51,03:30,2024-12-31
51,03:32,2024-12-31
51,03:34,2024-12-31
50,03:36,2024-12-31
51,03:38,2024-12-31
51,03:40,2024-12-31
51,03:42,2024-12-31
49,03:44,2024-12-31
49,03:46,2024-12-31
49,03:48,2024-12-31
49,03:50,2024-12-31
52,03:52,2024-12-31
47,03:54,2024-12-31
46,03:56,2024-12-31
46,03:58,2024-12-31
48,04:00,2024-12-31
48,04:02,2024-12-31
48,04:04,2024-12-31
47,04:06,2024-12-31
48,04:08,2024-12-31
47,04:10,2024-12-31
46,04:12,2024-12-31
46,04:14,2024-12-31
52,04:16,2024-12-31
48,04:18,2024-12-31
46,04:20,2024-12-31
47,04:22,2024-12-31
50,04:24,2024-12-31
48,04:26,2024-12-31
46,04:28,2024-12-31
48,04:30,2024-12-31
47,04:32,2024-12-31
47,04:34,2024-12-31
47,04:36,2024-12-31
48,04:38,2024-12-31
48,04:40,2024-12-31
48,04:42,2024-12-31
46,04:44,2024-12-31
47,04:46,2024-12-31
48,04:48,2024-12-31
48,04:50,2024-12-31
48,04:52,2024-12-31
48,04:54,2024-12-31
48,04:56,2024-12-31
48,04:58,2024-12-31
48,05:00,2024-12-31
56,05:02,2024-12-31
48,05:04,2024-12-31
47,05:06,2024-12-31
47,05:08,2024-12-31
46,05:10,2024-12-31
54,05:12,2024-12-31
47,05:14,2024-12-31
47,05:16,2024-12-31
47,05:18,2024-12-31
47,05:20,2024-12-31
47,05:22,2024-12-31
51,05:24,2024-12-31
51,05:26,2024-12-31
49,05:28,2024-12-31
48,05:30,2024-12-31
50,05:32,2024-12-31
52,05:34,2024-12-31
45,05:36,2024-12-31
45,05:38,2024-12-31
47,05:40,2024-12-31
60,05:42,2024-12-31
54,05:44,2024-12-31
51,05:46,2024-12-31
49,05:48,2024-12-31
49,05:50,2024-12-31
48,05:52,2024-12-31
54,05:54,2024-12-31
50,05:56,2024-12-31
51,05:58,2024-12-31
50,06:00,2024-12-31
51,06:02,2024-12-31
67,06:04,2024-12-31
47,06:06,2024-12-31
47,06:08,2024-12-31
45,06:10,2024-12-31
51,06:12,2024-12-31
46,06:14,2024-12-31
47,06:16,2024-12-31
46,06:18,2024-12-31
46,06:20,2024-12-31
46,06:22,2024-12-31
47,06:24,2024-12-31
45,06:26,2024-12-31
46,06:28,2024-12-31
46,06:30,2024-12-31
46,06:32,2024-12-31
47,06:34,2024-12-31
45,06:36,2024-12-31
45,06:38,2024-12-31
47,06:40,2024-12-31
46,06:42,2024-12-31
47,06:44,2024-12-31
48,06:46,2024-12-31
47,06:48,2024-12-31
48,06:50,2024-12-31
47,06:52,2024-12-31
49,06:54,2024-12-31
49,06:56,2024-12-31
49,06:58,2024-12-31
49,07:00,2024-12-31
49,07:02,2024-12-31
49,07:04,2024-12-31
49,07:06,2024-12-31
49,07:08,2024-12-31
49,07:10,2024-12-31
51,07:12,2024-12-31
57,07:14,2024-12-31
55,07:16,2024-12-31
52,07:18,2024-12-31
47,07:20,2024-12-31
48,07:22,2024-12-31
47,07:24,2024-12-31
49,07:26,2024-12-31
48,07:28,2024-12-31
46,07:30,2024-12-31
47,07:32,2024-12-31
48,07:34,2024-12-31
48,07:36,2024-12-31
51,07:38,2024-12-31
48,07:40,2024-12-31
47,07:42,2024-12-31
52,07:44,2024-12-31
50,07:46,2024-12-31
47,07:48,2024-12-31
51,07:50,2024-12-31
47,07:52,2024-12-31
53,07:54,2024-12-31
45,07:56,2024-12-31
48,07:58,2024-12-31
49,08:00,2024-12-31
46,08:02,2024-12-31
46,08:04,2024-12-31
45,08:06,2024-12-31
53,21:44,2025-01-02
53,21:46,2025-01-02
53,21:48,2025-01-02
53,21:50,2025-01-02
52,21:52,2025-01-02
53,21:54,2025-01-02
54,21:56,2025-01-02
51,21:58,2025-01-02
52,22:00,2025-01-02
51,22:02,2025-01-02
50,22:04,2025-01-02
49,22:06,2025-01-02
52,22:08,2025-01-02
52,22:10,2025-01-02
52,22:12,2025-01-02
53,22:14,2025-01-02
52,22:16,2025-01-02
52,22:18,2025-01-02
52,22:20,2025-01-02
52,22:22,2025-01-02
52,22:24,2025-01-02
52,22:26,2025-01-02
53,22:28,2025-01-02
53,22:30,2025-01-02
64,22:32,2025-01-02
55,22:34,2025-01-02
53,22:36,2025-01-02
52,22:38,2025-01-02
52,22:40,2025-01-02
54,22:42,2025-01-02
55,22:44,2025-01-02
55,22:46,2025-01-02
55,22:48,2025-01-02
55,22:50,2025-01-02
54,22:52,2025-01-02
54,22:54,2025-01-02
56,22:56,2025-01-02
52,22:58,2025-01-02
53,23:00,2025-01-02
53,23:02,2025-01-02
53,23:04,2025-01-02
56,23:06,2025-01-02
57,23:08,2025-01-02
53,23:10,2025-01-02
51,23:12,2025-01-02
54,23:14,2025-01-02
53,23:16,2025-01-02
54,23:18,2025-01-02
54,23:20,2025-01-02
53,23:22,2025-01-02
55,23:24,2025-01-02
57,23:26,2025-01-02
58,23:28,2025-01-02
51,23:30,2025-01-02
52,23:32,2025-01-02
53,23:34,2025-01-02
54,23:36,2025-01-02
53,23:38,2025-01-02
52,23:40,2025-01-02
52,23:42,2025-01-02
50,23:44,2025-01-02
51,23:46,2025-01-02
50,23:48,2025-01-02
52,23:50,2025-01-02
50,23:52,2025-01-02
54,23:54,2025-01-02
60,23:56,2025-01-02
70,23:58,2025-01-02
52,00:00,2025-01-02
52,00:02,2025-01-02
51,00:04,2025-01-02
50,00:06,2025-01-02
50,00:08,2025-01-02
51,00:10,2025-01-02
52,00:12,2025-01-02
53,00:14,2025-01-02
51,00:16,2025-01-02
53,00:18,2025-01-02
54,00:20,2025-01-02
53,00:22,2025-01-02
52,00:24,2025-01-02
53,00:26,2025-01-02
52,00:28,2025-01-02
52,00:30,2025-01-02
51,00:32,2025-01-02
51,00:34,2025-01-02
51,00:36,2025-01-02
51,00:38,2025-01-02
52,00:40,2025-01-02
54,00:42,2025-01-02
54,00:44,2025-01-02
50,00:46,2025-01-02
51,00:48,2025-01-02
52,00:50,2025-01-02
52,00:52,2025-01-02
52,00:54,2025-01-02
50,00:56,2025-01-02
50,00:58,2025-01-02
48,01:00,2025-01-02
50,01:02,2025-01-02
54,01:04,2025-01-02
48,01:06,2025-01-02
49,01:08,2025-01-02
48,01:10,2025-01-02
49,01:12,2025-01-02
50,01:14,2025-01-02
50,01:16,2025-01-02
50,01:18,2025-01-02
51,01:20,2025-01-02
59,01:22,2025-01-02
49,01:24,2025-01-02
50,01:26,2025-01-02
50,01:28,2025-01-02
50,01:30,2025-01-02
50,01:32,2025-01-02
51,01:34,2025-01-02
51,01:36,2025-01-02
50,01:38,2025-01-02
52,01:40,2025-01-02
51,01:42,2025-01-02
53,01:44,2025-01-02
52,01:46,2025-01-02
50,01:48,2025-01-02
49,01:50,2025-01-02
50,01:52,2025-01-02
50,01:54,2025-01-02
49,01:56,2025-01-02
51,01:58,2025-01-02
50,02:00,2025-01-02
50,02:02,2025-01-02
50,02:04,2025-01-02
51,02:06,2025-01-02
50,02:08,2025-01-02
50,02:10,2025-01-02
52,02:12,2025-01-02
50,02:14,2025-01-02
47,02:16,2025-01-02
46,02:18,2025-01-02
46,02:20,2025-01-02
46,02:22,2025-01-02
46,02:24,2025-01-02
52,02:26,2025-01-02
51,02:28,2025-01-02
49,02:30,2025-01-02
47,02:32,2025-01-02
47,02:34,2025-01-02
46,02:36,2025-01-02
46,02:38,2025-01-02
47,02:40,2025-01-02
48,02:42,2025-01-02
48,02:44,2025-01-02
48,02:46,2025-01-02
48,02:48,2025-01-02
50,02:50,2025-01-02
50,02:52,2025-01-02
52,02:54,2025-01-02
45,02:56,2025-01-02
44,02:58,2025-01-02
45,03:00,2025-01-02
45,03:02,2025-01-02
45,03:04,2025-01-02
46,03:06,2025-01-02
45,03:08,2025-01-02
45,03:10,2025-01-02
46,03:12,2025-01-02
45,03:14,2025-01-02
46,03:16,2025-01-02
48,03:18,2025-01-02
46,03:20,2025-01-02
45,03:22,2025-01-02
46,03:24,2025-01-02
48,03:26,2025-01-02
49,03:28,2025-01-02
49,03:30,2025-01-02
48,03:32,2025-01-02
49,03:34,2025-01-02
54,03:36,2025-01-02
55,03:38,2025-01-02
55,03:40,2025-01-02
55,03:42,2025-01-02
55,03:44,2025-01-02
49,03:46,2025-01-02
47,03:48,2025-01-02
47,03:50,2025-01-02
47,03:52,2025-01-02
47,03:54,2025-01-02
48,03:56,2025-01-02
48,03:58,2025-01-02
46,04:00,2025-01-02
46,04:02,2025-01-02
48,04:04,2025-01-02
49,04:06,2025-01-02
51,04:08,2025-01-02
54,04:10,2025-01-02
54,04:12,2025-01-02
54,04:14,2025-01-02
48,04:16,2025-01-02
49,04:18,2025-01-02
55,04:20,2025-01-02
45,04:22,2025-01-02
45,04:24,2025-01-02
46,04:26,2025-01-02
53,04:28,2025-01-02
44,04:30,2025-01-02
46,04:32,2025-01-02
46,04:34,2025-01-02
46,04:36,2025-01-02
46,04:38,2025-01-02
46,04:40,2025-01-02
46,04:42,2025-01-02
46,04:44,2025-01-02
47,04:46,2025-01-02
47,04:48,2025-01-02
46,04:50,2025-01-02
47,04:52,2025-01-02
47,04:54,2025-01-02
47,04:56,2025-01-02
47,04:58,2025-01-02
48,05:00,2025-01-02
49,05:02,2025-01-02
50,05:04,2025-01-02
50,05:06,2025-01-02
55,05:08,2025-01-02
44,05:10,2025-01-02
44,05:12,2025-01-02
45,05:14,2025-01-02
44,05:16,2025-01-02
47,05:18,2025-01-02
46,05:20,2025-01-02
47,05:22,2025-01-02
60,05:24,2025-01-02
48,05:26,2025-01-02
46,05:28,2025-01-02
50,05:30,2025-01-02
51,05:32,2025-01-02
45,05:34,2025-01-02
45,05:36,2025-01-02
44,05:38,2025-01-02
45,05:40,2025-01-02
47,05:42,2025-01-02
45,05:44,2025-01-02
44,05:46,2025-01-02
44,05:48,2025-01-02
44,05:50,2025-01-02
44,05:52,2025-01-02
45,05:54,2025-01-02
47,05:56,2025-01-02
42,05:58,2025-01-02
44,06:00,2025-01-02
42,06:02,2025-01-02
44,06:04,2025-01-02
44,06:06,2025-01-02
48,06:08,2025-01-02
45,06:10,2025-01-02
44,06:12,2025-01-02
44,06:14,2025-01-02
45,06:16,2025-01-02
46,06:18,2025-01-02
46,06:20,2025-01-02
44,06:22,2025-01-02
52,06:24,2025-01-02
46,06:26,2025-01-02
45,06:28,2025-01-02
43,06:30,2025-01-02
54,06:32,2025-01-02
47,06:34,2025-01-02
44,06:36,2025-01-02
44,06:38,2025-01-02
47,06:40,2025-01-02
47,06:42,2025-01-02
44,06:44,2025-01-02
45,06:46,2025-01-02
45,06:48,2025-01-02
46,06:50,2025-01-02
47,06:52,2025-01-02
44,06:54,2025-01-02
47,06:56,2025-01-02
50,06:58,2025-01-02
48,07:00,2025-01-02
48,07:02,2025-01-02
46,07:04,2025-01-02
45,07:06,2025-01-02
44,07:08,2025-01-02
45,07:10,2025-01-02
44,07:12,2025-01-02
45,07:14,2025-01-02
46,07:16,2025-01-02
45,07:18,2025-01-02
51,23:00,2025-01-03
54,23:02,2025-01-03
55,23:04,2025-01-03
54,23:06,2025-01-03
53,23:08,2025-01-03
54,23:10,2025-01-03
54,23:12,2025-01-03
55,23:14,2025-01-03
54,23:16,2025-01-03
55,23:18,2025-01-03
55,23:20,2025-01-03
55,23:22,2025-01-03
54,23:24,2025-01-03
54,23:26,2025-01-03
54,23:28,2025-01-03
55,23:30,2025-01-03
55,23:32,2025-01-03
55,23:34,2025-01-03
54,23:36,2025-01-03
54,23:38,2025-01-03
54,23:40,2025-01-03
61,23:42,2025-01-03
69,23:44,2025-01-03
70,23:46,2025-01-03
55,23:48,2025-01-03
49,23:50,2025-01-03
53,23:52,2025-01-03
61,23:54,2025-01-03
62,23:56,2025-01-03
58,23:58,2025-01-03
51,00:00,2025-01-03
51,00:02,2025-01-03
53,00:04,2025-01-03
53,00:06,2025-01-03
53,00:08,2025-01-03
54,00:10,2025-01-03
52,00:12,2025-01-03
53,00:14,2025-01-03
53,00:16,2025-01-03
52,00:18,2025-01-03
53,00:20,2025-01-03
52,00:22,2025-01-03
52,00:24,2025-01-03
53,00:26,2025-01-03
53,00:28,2025-01-03
53,00:30,2025-01-03
52,00:32,2025-01-03
53,00:34,2025-01-03
52,00:36,2025-01-03
52,00:38,2025-01-03
51,00:40,2025-01-03
63,00:42,2025-01-03
60,00:44,2025-01-03
53,00:46,2025-01-03
47,00:48,2025-01-03
49,00:50,2025-01-03
66,00:52,2025-01-03
55,00:54,2025-01-03
47,00:56,2025-01-03
48,00:58,2025-01-03
49,01:00,2025-01-03
47,01:02,2025-01-03
48,01:04,2025-01-03
49,01:06,2025-01-03
48,01:08,2025-01-03
48,01:10,2025-01-03
49,01:12,2025-01-03
49,01:14,2025-01-03
48,01:16,2025-01-03
49,01:18,2025-01-03
